id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1412,Song Hau 1 (Nhà máy nhiệt điện Sông Hậu 1),Coal,Operational,1200.0,2020.0,Vietnam,Petrovietnam,ADB,ADB,Vietnam,Lilama (Vietnam),Vietnam,Hậu Giang,Châu Thành,Vietnam Mekong Delta,9.947645,105.8576,,,Sourcewatch,https://thanhnien.vn/doi-song/hoa-dong-bo-nha-may-nhiet-dien-song-hau-1-vao-he-thong-dien-quoc-gia-1309816.html, https://www.sourcewatch.org/index.php/Song_Hau_Thermal_Power_Plant,12/21/2020
1413,Song Hau 2 (Nhà máy nhiệt điện Sông Hậu 2),Coal,Planned,2000.0,2024.0,Malaysia,Toyo Engineering and CóntructionGroup Berhad,,,,,Vietnam,Hậu Giang,Châu Thành,Vietnam Mekong Delta,9.947645,105.8576,,,Sourcewatch,https://m.thuvienphapluat.vn/van-ban/thuong-mai/Quyet-dinh-428-QD-TTg-de-an-dieu-chinh-quy-hoach-phat-trien-dien-luc-quoc-gia-2011-2020-2030-2016-306608.aspx,,03/18/2021
1414,Song Hau 3 ((Nhà máy nhiệt điện Sông Hậu 3),Coal,Cancelled,2000.0,2030.0,Vietnam,Korea Electric Power Corporation (KEPCO),,,,,Vietnam,Hậu Giang,Châu Thành,Vietnam Mekong Delta,9.947645,105.8576,"Actual location unknown, currently sited at locality in link/announcement",,Sourcewatch,,,
1415,Song Luy 1( Nhà máy điện mặt trời tại Sông Lũy 1),Solar,Operational,39.0,2018.0,Vietnam,Công ty Cổ phần đầu tư Quang điện Bình Thuận,Vietnam,SHB Bank Saigon Hanoi JSC,Vietnam; Spain; Belgium; Sweden; Japan,"Sigma Energy (Tây Ban Nha) – Tư vấn điện 4 (Việt Nam), Tư vấn giám sát Tractebel (Bỉ), cung cấp thiết bị là ABB (Thuỵ Điển), TMEIC (Nhật)",Vietnam,Bình Thuận,Bắc Bình,Song Luy,11.19874,108.3301,,80000,Sponsor Website,https://congluan.vn/binh-thuan-khoi-cong-2-du-an-dien-mat-troi-dau-tien-post45318.html,,
1416,Song Muc,Hydro,Operational,2.0,2008.0,Vietnam,Song Muc Co. Ltd,,,,,Vietnam,Thanh Hóa,Như Thanh,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.6106,105.5416,,7000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-muc-Hydropower,,
1417,Song Pha,Hydro,Operational,7.5,1995.0,Vietnam,Da Nhim - Ham Thuan - Da Mi Hydropower Company,,,,,Vietnam,Ninh Thuận,Ninh Sơn,Song Cai Phan Rang,11.8331,108.6841,,40000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-pha-Hydropower,,
1418,Song Tranh 2,Hydro,Operational,190.0,2010.0,Vietnam,EVN,,,Vietnam,Cavico,Vietnam,Quảng Nam,Bắc Trà My,Song Thu Bon Mainstem,15.33361,108.1636,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
1419,Song Tranh 3,Hydro,Operational,62.0,2013.0,Vietnam,Song Tranh 3 Hydro Power JSC,,,,,Vietnam,Quảng Nam,Hiệp Đức,Song Thu Bon Mainstem,15.4443,108.143,,230000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-tranh-3-Hydropower,,
1420,Songkla Biomass Company Limited Power Plant,Biomass,Unknown,9.9,,Thailand,Ratchaburi Electric Generating Company,,,,,Thailand,Buri Ram,Muang Buri Ram,Mun-Chi,14.76608,102.9575,"Actual location unknown, currently sited at locality in link/announcement",,Ratch Group,"Rubber, wood slab, and root",https://www.ratch.co.th/en/business/project-location/thailand,
1421,Sor Por Kor Wind Farm,Wind,Under Construction,260.0,2019.0,Thailand,Energy Absolute Plc,,,Spain,Siemens Gamesa Renewable Energy (Spain),Thailand,Buri Ram,Prakhon Chai,Mun-Chi,14.54345,103.0627,"Actual location unknown, currently sited at locality in link/announcement",,Stimson renewable energy database,https://renewablesnow.com/news/thai-wind-project-of-260-mw-on-sor-por-kor-land-to-move-on-report-564239/ https://renewablesnow.com/news/thai-energy-absolute-guides-for-improved-2017-results-thanks-to-wind-pv-report-510476/,,
