id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
15,Amata,Oil,Operational,13.0,,,,,,,,Vietnam,Đồng Nai,Biên Hòa,Dong Nai,10.9471,106.9,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
16,Amata B.Grimm,Gas,Operational,732.0,2016,Thailand,B. Grimm Power,,,Japan; Germany; Finland; France,"Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,Chon Buri,Muang Chon Buri,Chao Phraya-Ping,13.4191,101.0272,,3000949,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://investor.bgrimmpower.com/misc/ar/20180326-bgrim-ar2017-en.pdf; https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,_x0008_,12/28/2020
17,Amata B.Grimm Power (Rayong) 1,Gas,Operational,123.3,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9679627971364,101.11812949807,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
18,Amata B.Grimm Power (Rayong) 2,Gas,Operational,124.4,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.967963,101.118129,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
19,Amata B.Grimm Power (Rayong) 3,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9352080150761,101.098225808375,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
20,Amata B.Grimm Power (Rayong) 4,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9351139058471,101.097077822971,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
21,Amata B.Grimm Power (Rayong) 5,Gas,Operational,133.0,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,Coastal Rivers Rayong Chon Buri,12.9821450513877,101.106913889459,_x0008_,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12/28/2020
22,An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang),Coal,Planned,650.0,2023,Vietnam,An Khanh - Bac Giang Thermal Power JSC,China,China Development Bank (CDB); Industrial and Commercial Bank of China (ICBC),,,Vietnam,Bắc Giang,Lục Nam,Song Cau-Song Thuong-Song Luc Nam,21.23212,106.3596,"Actual location unknown, currently sited at locality in link/announcement",5000000,Sponsor Website,http://danviet.vn/doanh-nghiep/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-975071.html,,
23,An Khanh I (Nhà máy nhiệt điện An Khánh I),Coal,Operational,120.0,2015,Vietnam,An Khanh Electricity JSC,China; Vietnam,"China Communications Bank; Bank of China, China Construction Bank, China Exim Bank, Bank for Investment and Development of Vietnam",China,China People Electricity and Gas Group,Vietnam,Thái Nguyên,Đại Từ,Song Cau-Song Thuong-Song Luc Nam,21.59691,105.7666,,800000,AidData,https://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html; https://www.sourcewatch.org/index.php/An_Khanh_power_station; corroborated by other database; https://www.gem.wiki/An_Khanh_power_station,http://nhietdienankhanh.com.vn/gioi-thieu/gioi-thieu/2.html,03/29/2021
24,An Khanh II (Nhà máy nhiệt điện An Khánh II),Coal,Cancelled,300.0,2023,Vietnam,An Khanh Electricity JSC,,,,,Vietnam,Thái Nguyên,Đại Từ,Song Cau-Song Thuong-Song Luc Nam,21.59691,105.7666,,,Sourcewatch,http://baothainguyen.org.vn/tin-tuc/cong-nghiep/nhiet-dien-an-khanh-khang-dinh-vi-the-o-%E2%80%9Csan-choi%E2%80%9D-chung-256929-46245.html; https://www.gem.wiki/An_Khanh_power_station,,03/29/2021
25,An Khe - Kanak (Thủy điện An Khê - Kanak),Hydro,Operational,173.0,2011,Vietnam,An Khe - Ka Nak Hydro Power Co.,,,,,Vietnam,Gia Lai,KBang,Song Da Rang-Song Ba,14.17611,108.5772,,694000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-Hydropower,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_An_Kh%C3%AA_-_Kanak,
26,An Khe Biomass Power #1 Expansion (Nhà máy điện sinh khối An Khê),Biomass,Operational,95.0,2017,Vietnam,Quang Ngai Sugar Cane JSC,Vietnam,Quang Ngai Sugar Cane JSC,,,Vietnam,Gia Lai,An Khê,Song Da Rang-Song Ba,13.98589,108.6611,,,National Power Development Plan VII,"http://vneec.gov.vn/tin-tuc/energy-database/t23093/an-khe-biomass-power-plant-in-master-planning.html
http://qns.com.vn/language/en-US/%C4%90V-Th%C3%A0nh-vi%C3%AAn.aspx",,
27,Ang Thong Solar Power Plant,Solar,Operational,1.2,,Thailand,"Bangkok Solar Power Company, Ltd.",,,,,Thailand,Ang Thong,Muang Ang Thong,Chao Phraya-Ping,14.5894,100.4761,,1600.385,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project,,
